iso,umd_tree_cover_loss__year,umd_tree_cover_loss__ha,gfw_gross_emissions_co2e_all_gases__Mg
NGA,2003,13380.62881,4540663.94
NIC,2003,46963.69084,22436766.59
NLD,2003,309.8542634,115657.5628
NOR,2003,14817.39184,3119137.167
NPL,2003,2291.937476,1261783.94
NZL,2003,44798.28289,19833842.43
PAK,2003,641.697765,246540.8217
PAN,2003,11283.21097,5703266.201
PER,2003,73869.2433,45606298.52
PHL,2003,35154.20535,18809229.48
PLW,2003,17.62527665,12323.1065
PNG,2003,31805.61403,23319880.24
POL,2003,33292.99197,9806062.229
PRI,2003,1194.089454,542492.7612
PRK,2003,7348.877292,1916796.764
PRT,2003,26840.33637,6095411.761
PRY,2003,267309.0875,71251232.67
PSE,2003,1.438763533,323.4209747
REU,2003,142.6275971,59819.44011
ROU,2003,9427.598947,3762140.561
RUS,2003,3030068.958,379573863.8
RWA,2003,1060.927568,436060.3931
SDN,2003,18.66824164,5849.246318
SEN,2003,37.78890445,13844.43066
SGP,2003,18.84275868,6241.842303
SLB,2003,2374.830165,1721554.84
SLE,2003,9098.946831,3529335.573
SLV,2003,5983.700596,2239593.744
SMR,2003,0.055779092,15.13558369
SOM,2003,105.3720153,25525.19375
SRB,2003,864.9410101,357537.0498
SSD,2003,2063.178286,583119.3351
SUR,2003,4545.827243,3099404.73
SVK,2003,3750.001625,1577115.398
SVN,2003,528.3497426,210828.8138
SWE,2003,92619.4072,18776955.61
SWZ,2003,5760.353992,3436546.36
SXM,2003,2.12410459,491.7215559
SYR,2003,114.8063417,29795.65123
TCA,2003,10.37610118,1792.131624
TCD,2003,193.5413761,55578.00827
TGO,2003,2054.056559,603957.0138
THA,2003,58447.9422,29846481.38
TJK,2003,31.86869306,8548.043228
TKM,2003,84.86276665,16668.60467
TLS,2003,690.7395443,403709.8762
TTO,2003,726.4368091,337353.4263
TUN,2003,1539.083728,463787.359
TUR,2003,17743.88168,4181719.445
TWN,2003,1125.206168,573240.4503
TZA,2003,84068.20903,27020078.5
UGA,2003,11980.09565,5065186.359
UKR,2003,38954.86705,11883180.94
URY,2003,10611.51037,2946210.114
USA,2003,1649383.91,545215593.9
UZB,2003,52.79889595,13437.44798
VCT,2003,9.668587918,4765.739565
VEN,2003,87228.87271,36945343.85
VGB,2003,1.82742184,628.120083
VIR,2003,39.95442694,15312.28575
VNM,2003,43007.84845,21495654.44
VUT,2003,529.2629618,292380.8008
XCA,2003,8.85048139,496.2788818
XKO,2003,261.3241772,105435.822
XNC,2003,2.458474056,479.5730799
ZAF,2003,92572.61492,50191234.59
ZMB,2003,41954.73061,15843989.61
ZWE,2003,7312.198341,3001676.832
AFG,2004,201.4449585,33108.28163
AGO,2004,71273.87691,21297163.8
AIA,2004,8.853995905,1647.367467
ALA,2004,735.849796,153541.9011
ALB,2004,3236.59554,1351072.306
AND,2004,22.58937449,7672.137722
ARG,2004,433429.6897,86611386.43
ARM,2004,83.20474395,25478.87748
ATG,2004,25.46325975,8339.196832
AUS,2004,124768.677,36491563.03
AUT,2004,14599.40477,6331779.806
AZE,2004,584.955793,148796.0807
BDI,2004,613.8788333,204096.3494
BEL,2004,4793.340651,2291398.232
BEN,2004,683.6076116,180381.8086
